,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
395,salisbury,51.0693,-1.7957,10,93,90,5.02,GB,1610599015
396,vanimo,-2.6741,141.3028,29.14,75,87,2.83,PG,1610599015
397,kloulklubed,7.0419,134.2556,29,74,75,4.63,PW,1610599015
398,bluff,-46.6,168.3333,16.35,80,21,2.6,NZ,1610599016
399,larsnes,62.2028,5.5773,-3.89,77,0,2.24,NO,1610599016
400,butaritari,3.0707,172.7902,27.52,79,73,8.29,KI,1610599016
401,prado,-17.3411,-39.2208,22.97,88,0,1.01,BR,1610599016
402,bur gabo,,,,,,,,
403,lincoln,40.8,-96.667,7.78,64,100,0.45,US,1610599017
404,clyde river,70.4692,-68.5914,-20,84,90,3.6,CA,1610598962
405,agirish,61.9247,63.0231,-21.9,85,0,3.01,RU,1610599018
406,kuryk,43.2,51.65,7.27,59,76,16.68,KZ,1610599018
407,tabas,33.5959,56.9244,-1,24,0,1.03,IR,1610599018
408,parkland,47.1554,-122.434,6.11,93,1,1.54,US,1610599018
409,cayenne,4.9333,-52.3333,26,83,0,2.57,GF,1610599019
410,pisco,-13.7,-76.2167,21.11,78,100,0.27,PE,1610599019
411,soyo,-6.1349,12.3689,25.26,78,42,1.93,AO,1610599019
412,blagoyevo,63.3667,47.9167,-26.94,85,10,1.53,RU,1610599019
413,san policarpo,12.1791,125.5072,28.47,69,14,3.24,PH,1610599019
414,casma,-41.0082,-73.1244,12,76,0,2.57,CL,1610599020
415,dikson,73.5069,80.5464,-34.03,82,0,3.09,RU,1610599020
416,warrington,53.3925,-2.5802,5,100,90,4.63,GB,1610599020
417,calama,-22.4667,-68.9333,13,22,0,2.06,CL,1610599020
418,tahoua,14.8888,5.2692,20,21,0,4.12,NE,1610599021
419,lamu,-2.2717,40.902,25.51,81,74,3.95,KE,1610599021
420,longyearbyen,78.2186,15.6401,-7,79,75,4.63,SJ,1610599021
421,belushya guba,,,,,,,,
422,gat,31.61,34.7642,15,100,3,0.89,IL,1610598923
423,ancud,-41.8697,-73.8203,9.44,87,0,1.54,CL,1610599022
424,mataura,-46.1927,168.8643,22.04,58,17,3.42,NZ,1610599022
425,abu samrah,35.3029,37.1841,10.27,83,1,5.2,SY,1610599022
426,inirida,3.8653,-67.9239,22.72,95,95,0.85,CO,1610599022
427,takoradi,4.8845,-1.7554,25.47,87,99,2.54,GH,1610599023
428,chicama,-7.8447,-79.1469,21.21,81,100,2.07,PE,1610599023
429,dahra,36.2546,0.8519,6,87,0,3.09,DZ,1610599023
430,kiama,-34.6833,150.8667,32.78,69,27,5.36,AU,1610599023
431,jose bonifacio,-21.0528,-49.6883,22,83,40,2.57,BR,1610599024
432,bad wurzach,47.9,9.9,0.56,42,100,3.65,DE,1610599024
433,ilulissat,69.2167,-51.1,-4,86,90,5.66,GL,1610599024
434,samusu,,,,,,,,
435,namatanai,-3.6667,152.4333,29.37,67,81,5.48,PG,1610599024
436,maldonado,-34.6667,-54.9167,17,72,0,1.54,UY,1610599025
437,olafsvik,64.8945,-23.7142,4.62,84,55,8.24,IS,1610598925
438,faanui,-16.4833,-151.75,27.72,74,83,7.17,PF,1610599017
439,fort nelson,58.8053,-122.7002,-11,92,75,1.03,CA,1610598969
440,awbari,26.5921,12.7805,6.46,57,37,2.36,LY,1610599026
441,michigan city,41.7075,-86.895,4.44,81,75,3.09,US,1610599026
442,fairbanks,64.8378,-147.7164,-20,77,75,0.51,US,1610599026
443,taolanaro,,,,,,,,
444,dryden,49.7833,-92.7503,-6,93,1,5.66,CA,1610599027
445,jamestown,42.097,-79.2353,3.33,80,75,4.12,US,1610598925
446,tarogong,-7.1902,107.8874,28.51,59,100,0.73,ID,1610599027
447,barentsburg,,,,,,,,
448,verkhnevilyuysk,63.4453,120.3167,-28.35,86,99,3.1,RU,1610599028
449,airai,-8.9266,125.4092,23.16,87,100,0.93,TL,1610599028
450,vazante,-17.9869,-46.9078,21,93,100,1.81,BR,1610599028
451,tokonou,9.65,-9.7833,16.64,41,38,0.95,GN,1610599028
452,cape town,-33.9258,18.4232,21.11,82,0,3.6,ZA,1610599029
453,cap-aux-meules,47.3821,-61.8597,-1,80,100,3.09,CA,1610599029
454,ulaangom,49.9811,92.0667,-18.95,91,100,0.98,MN,1610599029
455,kalcheva,45.7374,28.8141,-1.11,97,92,2.45,UA,1610599029
456,college,64.8569,-147.8028,-20,77,75,0.96,US,1610599030
457,vengerovo,55.6848,76.7471,-26.01,88,80,4.31,RU,1610599030
458,east london,-33.0153,27.9116,21,100,90,4.12,ZA,1610598802
459,castro,-24.7911,-50.0119,17.92,94,98,4.37,BR,1610599030
460,elko,41.0002,-115.5012,5,65,90,1.54,US,1610599030
461,mahibadhoo,3.7833,72.9667,27.72,79,73,6.08,MV,1610599031
462,kuytun,54.3419,101.5036,-19.71,91,100,2.31,RU,1610599031
463,port macquarie,-31.4333,152.9167,32.22,50,10,0.89,AU,1610598803
464,lakes entrance,-37.8811,147.981,21.67,59,19,1.34,AU,1610599031
465,asfi,32.2994,-9.2372,10.14,73,0,5.48,MA,1610599032
466,klaksvik,62.2266,-6.589,4,81,40,10.8,FO,1610599032
467,cabo san lucas,22.8909,-109.9124,15.56,72,24,0.89,MX,1610599032
468,waipawa,-41.4122,175.5153,24,53,50,3.6,NZ,1610599032
469,chara,56.9064,118.2631,-29.39,74,22,0.44,RU,1610599033
470,opunake,-39.4556,173.8583,23.89,79,0,0.89,NZ,1610599033
471,tungor,53.3808,142.9564,-19.49,88,100,5.78,RU,1610599033
472,hualmay,-11.0964,-77.6139,21.12,87,98,2.58,PE,1610599033
473,yeniseysk,58.4497,92.1703,-21.98,89,100,4.15,RU,1610599033
474,egvekinot,66.3167,-179.1667,-23.67,88,100,5.13,RU,1610599034
475,lolua,,,,,,,,
476,avarua,-21.2078,-159.775,28,78,75,6.69,CK,1610598917
477,palafrugell,41.9174,3.1631,4.44,100,0,1.91,ES,1610599035
478,asyut,27.181,31.1837,9,76,0,5.14,EG,1610599035
479,yellowknife,62.456,-114.3525,-11,85,90,4.12,CA,1610599035
480,dolbeau,,,,,,,,
481,sorvag,,,,,,,,
482,wanning,18.8003,110.3967,20.96,57,38,4.07,CN,1610599036
483,umzimvubu,,,,,,,,
484,arkhara,49.4212,130.0842,-23.47,88,22,2.9,RU,1610599036
485,ulladulla,-35.35,150.4667,32.78,61,0,8.75,AU,1610599037
486,baryshivka,50.361,31.3217,-2.22,86,90,1.12,UA,1610599037
487,watsa,3.0372,29.5355,20.99,51,65,0.77,CD,1610599037
488,san patricio,28.017,-97.5169,8,87,1,2.57,US,1610599037
489,chokurdakh,70.6333,147.9167,-30.28,87,100,3.33,RU,1610599038
490,ulaanbaatar,47.9077,106.8832,-23,70,95,1,MN,1610598423
491,agdas,40.65,47.4761,5,93,90,2.06,AZ,1610599038
492,arlit,18.7369,7.3853,16.48,30,0,1.38,NE,1610599038
493,hobart,-42.8794,147.3294,22,37,75,4.63,AU,1610598759
494,poum,-20.2333,164.0167,27.09,85,100,4.77,NC,1610599039
495,bambanglipuro,-7.95,110.2833,29.49,64,100,3.05,ID,1610598946
496,tuktoyaktuk,69.4541,-133.0374,-23,77,90,2.57,CA,1610599039
497,kruisfontein,-34.0033,24.7314,22.22,87,100,1.34,ZA,1610599039
498,omagh,54.6,-7.3,6.76,91,100,4.6,GB,1610599039
499,naze,28.3667,129.4833,18,55,75,5.14,JP,1610599040
500,fallon,39.4735,-118.7774,8.89,65,20,2.57,US,1610599040
501,glenwood springs,39.5505,-107.3248,0,80,90,7.2,US,1610599040
502,opuwo,-18.0607,13.84,18.59,57,89,1.56,NA,1610599040
503,guangyuan,32.442,105.823,6.11,54,0,1.34,CN,1610599041
504,lavrentiya,65.5833,-171,-18.1,92,99,1.38,RU,1610599041
505,beeville,28.4008,-97.7483,7,93,1,3.6,US,1610599041
506,novoagansk,61.9449,76.6625,-21.06,88,59,6.14,RU,1610599041
507,atar,20.5169,-13.0499,15.58,29,100,6.87,MR,1610599042
508,birao,10.2849,22.7882,15.96,31,0,2.4,CF,1610599042
509,do gonbadan,30.3586,50.7981,3,87,0,0.38,IR,1610599042
510,kieta,-6.2167,155.6333,29.67,60,100,2.32,PG,1610599042
511,teresopolis,-22.4122,-42.9656,27.78,73,20,2.06,BR,1610599042
512,lompoc,34.6391,-120.4579,19,87,1,3.54,US,1610598954
513,kahului,20.8947,-156.47,26,65,40,3.09,US,1610599043
514,cap malheureux,-19.9842,57.6142,27.78,73,11,3.13,MU,1610599043
515,beloha,-25.1667,45.05,27.76,69,24,3.64,MG,1610599043
516,khuzhir,53.1939,107.3397,-17.28,86,54,5.1,RU,1610599044
517,san jose,37.3394,-121.895,15,82,40,1.11,US,1610598785
518,ponta delgada,37.7333,-25.6667,16.11,94,75,5.66,PT,1610599044
519,haines junction,60.7522,-137.5108,-17,85,75,1.03,CA,1610599044
520,mapiripan,2.8892,-72.1256,22.98,83,80,2,CO,1610599044
521,jardim,-21.4803,-56.1381,23.11,93,100,0.68,BR,1610599045
522,daru,-9.0763,143.2092,29.48,77,95,2.81,PG,1610599045
523,miajadas,39.1513,-5.9084,2.22,86,0,0.89,ES,1610599045
524,joshimath,30.5667,79.5667,17.82,20,56,0.9,IN,1610599045
525,comodoro rivadavia,-45.8667,-67.5,13,88,0,3.52,AR,1610599046
526,ola,59.5833,151.2833,-23.03,81,86,3.75,RU,1610599046
527,charters towers,-20.1,146.2667,30.27,52,90,4.58,AU,1610599046
528,smirnykh,49.75,142.8333,-15.34,91,100,4.94,RU,1610599046
529,tubruq,,,,,,,,
530,shaunavon,49.6501,-108.4181,-1.83,87,92,17.73,CA,1610599047
531,bolshoye selo,57.7177,38.9334,-20.09,92,100,5.14,RU,1610599047
532,plast,54.3691,60.8136,-26.42,89,86,2.79,RU,1610599047
533,warqla,,,,,,,,
534,mys shmidta,,,,,,,,
535,sao filipe,14.8961,-24.4956,21.71,74,99,5.75,CV,1610598972
536,te anau,-45.4167,167.7167,22.83,42,1,2.56,NZ,1610599048
537,kavieng,-2.5744,150.7967,29.49,70,89,6.24,PG,1610599048
538,evensk,61.95,159.2333,-28.21,74,76,2.59,RU,1610599049
539,baker city,44.7749,-117.8344,-2,74,1,2.57,US,1610599049
540,namibe,-15.1961,12.1522,22.15,70,100,1.2,AO,1610598937
541,hithadhoo,-0.6,73.0833,27.84,76,49,9.28,MV,1610599049
542,selikhino,50.3672,137.4996,-19.82,88,98,2,RU,1610599049
543,lyuban,52.7985,28.0048,-8.18,97,98,2.46,BY,1610599050
544,kaitangata,-46.2817,169.8464,17.22,77,17,4.47,NZ,1610599050
545,pangnirtung,66.1451,-65.7125,-20.53,75,94,0.19,CA,1610599050
546,maniitsoq,65.4167,-52.9,-6.78,95,100,3.99,GL,1610599050
547,teguise,29.0605,-13.564,14,77,0,3.6,ES,1610599051
548,yenagoa,4.9247,6.2642,23.8,92,0,0.37,NG,1610599051
549,hofn,64.2539,-15.2082,5.85,91,100,5.9,IS,1610599051
550,ca mau,9.1769,105.15,28.44,43,47,3.14,VN,1610598898
551,chuy,-33.6971,-53.4616,16.37,67,0,3.37,UY,1610599051
552,zarya,55.7553,38.0958,-12.78,85,90,6,RU,1610599052
553,hay river,60.8156,-115.7999,-8,86,100,7.72,CA,1610599052
554,hasaki,35.7333,140.8333,13.89,44,0,2.57,JP,1610599052
555,marcona,,,,,,,,
556,menongue,-14.6585,17.691,16.5,95,100,0.79,AO,1610599053
557,haines city,28.1142,-81.6179,11.67,93,90,2.57,US,1610599053
558,bury saint edmunds,,,,,,,,
559,ribeira grande,38.5167,-28.7,17.57,83,50,10.88,PT,1610598921
560,san carlos,9.6612,-68.5827,22.14,76,73,1.34,VE,1610599054
561,tekkali,18.6167,84.2333,27.35,54,19,1.49,IN,1610599054
562,bethel,41.3712,-73.414,1.11,86,75,1.64,US,1610599054
563,ampanihy,-24.7,44.75,25.57,78,67,3.45,MG,1610599055
564,lazaro cardenas,17.9583,-102.2,24.58,58,99,1.46,MX,1610599055
565,los llanos de aridane,28.6585,-17.9182,16,63,0,4.12,ES,1610599055
566,lethem,3.3803,-59.7968,24.22,79,89,5.3,GY,1610599055
567,pak phanang,8.3511,100.202,29,74,40,2.06,TH,1610599056
568,chalmette,29.9427,-89.9634,8,71,1,1.54,US,1610599056
569,kapaa,22.0752,-159.319,22,83,75,6.17,US,1610598936
570,umm kaddadah,13.6017,26.6876,17.09,29,0,5.71,SD,1610599056
571,cherskiy,68.75,161.3,-32.22,85,99,1.6,RU,1610599056
572,narsaq,60.9167,-46.05,-2,86,90,2.06,GL,1610599057
573,saint-philippe,-21.3585,55.7679,29,70,0,1.54,RE,1610598953
574,new norfolk,-42.7826,147.0587,22,37,75,4.63,AU,1610599057
575,grand gaube,-20.0064,57.6608,27.78,73,8,3.13,MU,1610599014
576,kovdor,67.5662,30.4758,-22.35,89,100,1.71,RU,1610599058
577,barrow,71.2906,-156.7887,-23,77,1,7.72,US,1610598997
578,turukhansk,65.8167,87.9833,-32.3,84,99,3.09,RU,1610599058
579,port-cartier,50.0334,-66.8654,-5,93,100,1.03,CA,1610599058
580,si sa ket,14.8333,104.3333,27.22,99,0,3.49,TH,1610599058
581,nyurba,63.2842,118.3319,-25.4,87,100,3.8,RU,1610599059
582,volkach,49.8667,10.2333,1.11,78,100,0.89,DE,1610599059
583,north platte,41.1239,-100.7654,8,53,1,5.14,US,1610598845
584,kudahuvadhoo,2.6708,72.8944,27.89,77,65,7.18,MV,1610599059
585,codigoro,44.8311,12.1142,-1.67,94,0,2.76,IT,1610599060
586,kambove,-10.8764,26.5969,17.03,99,100,1.93,CD,1610599060
587,talnakh,69.4865,88.3972,-33.88,77,1,2.99,RU,1610599060
588,veraval,20.9,70.3667,24.77,29,0,2.54,IN,1610599060
589,punta arenas,-53.15,-70.9167,11,82,90,6.69,CL,1610598946
590,arraial do cabo,-22.9661,-42.0278,24.01,90,27,8.3,BR,1610598946
591,moron,-34.6534,-58.6198,21.67,53,0,4.02,AR,1610599061
592,nikolskoye,59.7035,30.7861,-12.78,85,20,3,RU,1610599061
593,krasnoselkup,65.7,82.4667,-21.08,91,100,2.65,RU,1610599061
594,xining,36.6167,101.7667,-0.04,51,11,2.4,CN,1610599062
595,avera,33.194,-82.5271,4,100,40,2.57,US,1610599031
596,yazman,29.1212,71.7446,20.94,16,99,2.28,PK,1610599062
597,ushuaia,-54.8,-68.3,12,66,75,2.02,AR,1610599062
598,cottbus,51.7667,14.3333,-0.56,89,100,2.24,DE,1610599063
599,guerrero negro,27.9769,-114.0611,14.21,55,0,2.63,MX,1610599063
600,tolland,41.8501,-72.3495,-0.56,86,1,2.24,US,1610599063
601,gawler,-34.6,138.7333,23.33,46,0,4.92,AU,1610599063
602,camacha,33.0833,-16.3333,14,67,20,4.63,PT,1610599063
603,portobelo,9.55,-79.65,26.11,85,98,3.58,PA,1610599064
604,muroto,33.2833,134.15,15,47,20,1.54,JP,1610599064
